"Date","Price","Open","High","Low","Vol.","Change"
"Feb 14, 2014","786.93","798.69","804.88","780.69","-","-1.28%"
"Feb 13, 2014","797.12","811.36","811.50","794.89","-","-1.68%"
"Feb 12, 2014","810.70","809.15","814.79","808.62","-","1.22%"
"Feb 10, 2014","800.89","801.91","801.91","794.25","-","1.24%"
"Feb 07, 2014","791.08","785.14","791.31","783.21","-","2.39%"
"Feb 06, 2014","772.59","777.75","779.69","772.08","-","-0.28%"
"Feb 05, 2014","774.74","769.26","777.83","765.31","-","2.32%"
"Feb 04, 2014","757.19","776.99","777.42","757.19","-","-4.39%"
"Feb 03, 2014","791.95","803.84","807.30","791.77","-","-2.04%"
"Jan 31, 2014","808.43","818.22","819.00","803.28","-","-0.34%"
"Jan 30, 2014","811.16","818.76","818.76","806.54","-","-2.57%"
"Jan 29, 2014","832.53","822.82","832.80","822.04","-","2.34%"
"Jan 28, 2014","813.48","820.41","821.82","813.48","-","-0.45%"
"Jan 27, 2014","817.18","823.91","825.06","814.94","-","-2.77%"
"Jan 24, 2014","840.47","845.76","846.01","836.41","-","-1.91%"
"Jan 23, 2014","856.82","868.04","870.00","856.82","-","-0.85%"
"Jan 22, 2014","864.17","860.61","866.95","856.07","-","0.30%"
"Jan 21, 2014","861.56","861.73","867.55","861.28","-","0.15%"
"Jan 20, 2014","860.27","863.74","863.74","856.91","-","-0.28%"
"Jan 17, 2014","862.68","861.43","864.31","858.28","-","0.01%"
"Jan 16, 2014","862.59","866.49","872.29","862.15","-","-0.00%"
"Jan 15, 2014","862.63","856.96","862.63","856.15","-","1.99%"
"Jan 14, 2014","845.81","852.73","852.99","843.40","-","-2.32%"
"Jan 10, 2014","865.88","860.08","866.42","858.61","-","0.07%"
"Jan 09, 2014","865.31","870.14","870.68","861.97","-","-0.84%"
"Jan 08, 2014","872.62","863.31","872.62","861.28","-","1.76%"
"Jan 07, 2014","857.54","859.99","863.77","856.31","-","-0.67%"
"Jan 06, 2014","863.35","868.28","870.23","857.85","-","-0.99%"
"Dec 30, 2013","871.94","869.95","872.14","867.55","-","0.89%"
"Dec 27, 2013","864.24","862.33","864.43","856.07","-","0.68%"
"Dec 26, 2013","858.39","848.65","860.01","848.57","-","1.59%"
"Dec 25, 2013","844.99","842.03","844.99","840.82","-","0.07%"
"Dec 24, 2013","844.39","849.14","851.09","842.28","-","-0.24%"
"Dec 20, 2013","846.39","845.82","846.39","842.17","-","-0.15%"
"Dec 19, 2013","847.67","847.60","850.50","845.19","-","1.21%"
"Dec 18, 2013","837.50","822.47","837.50","822.47","-","1.72%"
"Dec 17, 2013","823.30","824.26","825.80","820.68","-","0.66%"
"Dec 16, 2013","817.91","826.72","826.72","817.12","-","-1.24%"
"Dec 13, 2013","828.21","829.23","835.35","822.92","-","-0.21%"
"Dec 12, 2013","829.93","829.77","831.13","825.62","-","-0.61%"
"Dec 11, 2013","835.04","835.48","837.04","829.73","-","-0.44%"
"Dec 10, 2013","838.69","838.29","839.55","835.85","-","0.05%"
"Dec 09, 2013","838.23","836.54","838.95","834.71","-","1.60%"
"Dec 06, 2013","825.06","819.50","826.15","818.24","-","0.55%"
"Dec 05, 2013","820.53","826.22","830.62","819.34","-","-0.88%"
"Dec 04, 2013","827.83","834.65","837.30","827.12","-","-1.83%"
"Dec 03, 2013","843.24","844.16","845.88","839.62","-","0.34%"
"Dec 02, 2013","840.35","842.52","844.88","837.92","-","-0.11%"
"Nov 29, 2013","841.26","841.02","842.41","834.36","-","-0.25%"
"Nov 28, 2013","843.40","841.41","843.40","838.67","-","1.24%"
"Nov 27, 2013","833.11","833.39","837.26","832.31","-","-0.42%"
"Nov 26, 2013","836.66","837.94","839.86","835.65","-","-0.62%"
"Nov 25, 2013","841.89","839.20","841.89","837.46","-","0.96%"
